,Area,count,mean,std,min,25%,50%,75%,max
257,Turkmenistan,336.0,1.1953511904761904,1.8000076886730683,-9.154,0.21925,1.2915,2.302,7.226
258,Turks and Caicos Islands,653.0,0.5916416539050535,0.7336618156444314,-1.427,0.073,0.587,1.101,3.112
259,Tuvalu,701.0,0.310151212553495,0.5261199102478843,-1.124,-0.07,0.25,0.674,1.673
260,USSR,372.0,0.19338978494623657,1.109581240648415,-4.474,-0.36824999999999997,0.208,0.8262499999999999,3.575
261,Uganda,708.0,0.4736200564971752,0.6446936915024686,-1.265,0.04575,0.4065,0.876,3.066
262,Ukraine,336.0,1.183386904761905,2.081269791588837,-7.389,-0.0035,1.2040000000000002,2.325,7.307
263,United Arab Emirates,708.0,0.3324887005649717,1.0608565905301686,-3.449,-0.30625,0.3675,0.9622499999999999,3.417
264,United Kingdom,708.0,0.41565536723163843,1.2002577245104342,-4.438,-0.289,0.40449999999999997,1.1795,3.769
265,United Republic of Tanzania,708.0,0.4177768361581921,0.606853844046576,-1.169,-0.0145,0.35,0.816,2.269
266,United States Virgin Islands,708.0,0.2565268361581921,0.4933788341229849,-1.118,-0.08225,0.2505,0.60675,1.97
267,United States of America,708.0,0.4493983050847457,0.975132283252655,-3.498,-0.16625,0.373,1.068,3.788
268,Uruguay,708.0,0.342457627118644,1.1698438342380093,-2.982,-0.397,0.2835,1.131,4.783
269,Uzbekistan,336.0,1.0956726190476191,2.023470920751925,-9.334,0.05175,1.127,2.2982500000000003,7.49
270,Vanuatu,700.0,0.4064514285714286,0.6086290010101651,-1.232,-0.0305,0.367,0.78725,2.619
271,Venezuela (Bolivarian Republic of),708.0,0.42539406779661015,0.5620603100710112,-1.062,0.01675,0.395,0.8292499999999999,2.402
272,Viet Nam,708.0,0.37092514124293785,0.8037456347051708,-2.394,-0.102,0.319,0.888,3.32
273,Wake Island,496.0,0.3101290322580645,0.6508618617763843,-1.886,-0.117,0.324,0.7284999999999999,3.53
